dist_subdist,replacement
Bang Kapi_624 Condolette Ladprao,Bang Kapi_Khlong Chan
Bang Kapi_Sathorn Happy Land,Bang Kapi_Khlong Chan
Bang Kho Laem_StarView Rama 3,Bang Kho Laem_Bang Khlo
Bang Khun Thian_Smart Condo Rama 2,Bang Khun Thian_Samae Dam
Bang Rak_ASHTON Silom,Bang Rak_Suriyawong
Bang Rak_M Silom,Bang Rak_Suriyawong
Bangkok Yai_IDEO Thaphra Interchange,Bangkok Yai_Wat Tha Phra
Chatuchak_Supalai Park Ratchayothin,Chatuchak_Lat Yao
Chatuchak_,Chatuchak_Chan Kasem
Din Daeng_Lumpini Suite Dindaeng-Ratchaprarop,Din Daeng_Din Daeng
Din Daeng_The Kris Express 2,Din Daeng_Din Daeng
Din Daeng_The Kris Extra 5,Din Daeng_Din Daeng
Huai Khwang_Chateau In Town Ratchada 20,Huai Khwang_Sam Sen Nok
Huai Khwang_Noble Revolve Ratchada,Huai Khwang_Huai Khwang
Khlong San_Villa Sathorn,Khlong San_Khlong Ton Sai
Lak Si_Plum Condo Chaengwattana Station,Lak Si_Talat Bang Khen
Pathum Wan_CU Terrace,Pathum Wan_Wang Mai
Phra Khanong_Whizdom The Exclusive,Phra Khanong_Bang Chak
Phra Khanong_,Phra Khanong_Bang Chak
Ratchathewi_Life Asoke - Rama 9,Ratchathewi_Makkasan
Ratchathewi_The Mark Ratchada-Airport Link,Ratchathewi_Makkasan
Sathon_Baan Nonsi,Sathon_Thung Wat Don
Sathon_,Sathon_Thung Maha Mek
Watthana_Beverly Tower,Watthana_Khlong Toei Nuea
Watthana_The Alcove Sukhumvit 49,Watthana_Khlong Tan Nuea
Watthana_The Bloom Sukhumvit 71,Watthana_Phra Khanong Nuea
Yan Nawa_Supalai Premier Ratchada-Narathiwas-Sathorn,Yan Nawa_Chong Nonsi
Bang Bua Thong_Vio Khaerai 2,Bang Bua Thong_Talat Khwan
Pak Kret_DOUBLELAKE เมืองทองธานี CONDOMINIUM,Pak Kret_Ban Mai
Pak Kret_NUE Noble Chaengwattana,Pak Kret_Bang Talat
Bang Phli_Baan Suanthon Srinakarin condominium,Bang Phli_Bang Kaeo
Mueang Samut Prakan_Kensington Condominium,Mueang Samut Prakan_Samrong Nuea
Sathon_Nara 9 Sathorn-Narathiwas,Sathon_Thung Maha Mek
Phra Samut Jadee_Nai Khlong Bang Pla Kot,Phra Samut Chedi_Nai Khlong Bang Pla Kot
Phra Samut Jadee_Ban Khlong Suan,Phra Samut Chedi_Ban Khlong Suan
Phra Samut Jadee_Na Kluea,Phra Samut Chedi_Na Kluea
Phra Samut Jadee_Laem Fa Pha,Phra Samut Chedi_Laem Fa Pha
Phra Samut Jadee_Pak Khlong Bang Pla Kot,Phra Samut Chedi_Pak Khlong Bang Pla Kot
